"Project id","Client id","Feedback","Review Note"
,,,
1,1001,4,"Good. But some features can be added."
1,1002,4,"Satisfied the requirements."
1,1003,4,"Happy with the project."
2,1004,NaN,
2,1005,NaN,
3,1006,4,"Very good. But some more tactics can be implemented."
3,1007,5,"Excellent. Very much happy with project."
3,1008,5,"Excellent. "
3,1009,5,"Epic."
3,1010,4,"Good marketing tactics."
3,1011,4,"Satisfied with the requirements fulfilled."
4,1012,NaN,
4,1013,NaN,
1,1014,5,"Excellent. "
1,1015,4,"Very good. "
