"Employee id","Date","Basic pay","Gross Salary","Net Salary","Role level","Total allowances","Total deductions","Performance Bonus"
,,,,,,,,
1,2021-11-30,90000,,,3,,,2000
2,2021-11-30,70000,,,2,,,1000
3,2021-11-30,50000,,,1,,,500
4,2021-11-30,110000,,,4,,,3000
5,2021-11-30,70000,,,2,,,1500
6,2021-11-30,90000,,,3,,,2000
7,2021-11-30,120000,,,5,,,4000
8,2021-11-30,70000,,,2,,,500
10,2021-11-30,90000,,,3,,,2000
11,2021-11-30,70000,,,2,,,1000
12,2021-11-30,120000,,,5,,,3500
13,2021-11-30,110000,,,4,,,3500
14,2021-11-30,90000,,,3,,,2500
15,2021-11-30,70000,,,2,,,500
16,2021-11-30,50000,,,1,,,0
17,2021-11-30,120000,,,5,,,4000
18,2021-11-30,110000,,,4,,,3000
19,2021-11-30,90000,,,3,,,2000
20,2021-11-30,70000,,,2,,,1000
21,2021-11-30,50000,,,1,,,500
22,2021-11-30,120000,,,5,,,4500
23,2021-11-30,110000,,,4,,,3000
24,2021-11-30,90000,,,3,,,2000
25,2021-11-30,70000,,,2,,,1500
26,2021-11-30,50000,,,1,,,500
28,2021-11-30,50000,,,1,,,500
29,2021-11-30,70000,,,2,,,500
30,2021-11-30,50000,,,1,,,1000
1,2021-12-31,90000,,,3,,,2500
2,2021-12-31,70000,,,2,,,1000
3,2021-12-31,50000,,,1,,,500
4,2021-12-31,110000,,,4,,,3000
5,2021-12-31,70000,,,2,,,1500
6,2021-12-31,90000,,,3,,,2500
7,2021-12-31,120000,,,5,,,4000
8,2021-12-31,70000,,,2,,,1000
11,2021-12-31,70000,,,2,,,1500
12,2021-12-31,120000,,,5,,,4000
13,2021-12-31,110000,,,4,,,3500
14,2021-12-31,90000,,,3,,,2000
15,2021-12-31,70000,,,2,,,1000
16,2021-12-31,50000,,,1,,,0
17,2021-12-31,120000,,,5,,,4000
18,2021-12-31,110000,,,4,,,3000
19,2021-12-31,90000,,,3,,,2000
20,2021-12-31,70000,,,2,,,1000
21,2021-12-31,50000,,,1,,,500
22,2021-12-31,120000,,,5,,,4500
23,2021-12-31,110000,,,4,,,3500
24,2021-12-31,90000,,,3,,,2000
25,2021-12-31,70000,,,2,,,1000
26,2021-12-31,50000,,,1,,,500
28,2021-12-31,50000,,,1,,,500
29,2021-12-31,70000,,,2,,,1500
30,2021-12-31,50000,,,1,,,0
